user_id,image_type,gender,age_group,customer_type,clicks,converted,time_on_page,purchase_value
1,studio,male,adult,new,0,0,40.41,0.0
2,lifestyle,male,young,new,0,0,45.43,0.0
3,lifestyle,male,young,returning,0,0,23.85,0.0
4,lifestyle,female,adult,new,0,0,38.83,0.0
5,studio,male,adult,new,0,0,46.64,0.0
6,studio,female,adult,returning,0,0,24.29,0.0
7,studio,male,senior,returning,0,0,34.48,0.0
8,lifestyle,female,young,new,0,0,69.61,0.0
9,lifestyle,female,adult,returning,0,0,45.26,0.0
10,lifestyle,female,young,new,0,0,39.42,0.0
11,studio,female,adult,new,0,1,50.23,121.86
12,lifestyle,female,young,returning,0,0,45.73,0.0
13,lifestyle,female,young,returning,0,0,48.85,0.0
14,studio,male,young,returning,1,0,28.44,0.0
15,studio,female,young,new,0,0,12.66,0.0
16,studio,male,senior,returning,0,0,30.02,0.0
17,studio,male,adult,new,0,0,33.46,0.0
18,lifestyle,male,senior,new,0,0,47.76,0.0
19,studio,male,adult,returning,0,0,17.97,0.0
20,studio,male,young,new,0,0,32.95,0.0
21,lifestyle,male,young,returning,0,0,41.28,0.0
22,studio,male,young,new,1,0,41.5,0.0
23,studio,female,young,new,0,0,29.66,0.0
24,studio,male,adult,returning,0,0,27.73,0.0
25,studio,female,adult,returning,0,0,39.64,0.0
26,lifestyle,male,adult,new,0,0,42.07,0.0
27,studio,female,young,new,0,0,23.58,0.0
28,lifestyle,female,young,returning,0,0,51.55,0.0
29,lifestyle,female,young,new,0,0,28.33,0.0
30,studio,female,young,new,0,0,17.87,0.0
31,lifestyle,male,adult,new,0,0,39.55,0.0
32,studio,female,young,new,0,0,32.5,0.0
33,studio,female,adult,returning,0,0,35.73,0.0
34,lifestyle,female,adult,new,0,0,30.19,0.0
35,lifestyle,female,young,returning,0,0,50.93,0.0
36,lifestyle,male,adult,new,0,0,59.15,0.0
37,studio,female,adult,returning,0,0,34.78,0.0
38,studio,male,young,new,1,0,53.16,0.0
39,lifestyle,female,senior,new,0,0,25.85,0.0
40,studio,male,young,new,0,0,30.65,0.0
41,studio,female,young,new,0,0,28.04,0.0
42,studio,male,adult,new,0,0,26.42,0.0
43,studio,male,adult,new,0,0,28.42,0.0
44,lifestyle,female,young,new,0,0,36.42,0.0
45,studio,female,young,new,0,0,20.45,0.0
46,lifestyle,female,senior,new,1,0,57.13,0.0
47,studio,male,young,new,0,0,24.58,0.0
48,lifestyle,male,young,returning,0,0,49.88,0.0
49,lifestyle,female,adult,new,0,0,45.3,0.0
50,studio,female,senior,returning,0,0,43.32,0.0
51,lifestyle,female,young,new,0,0,51.77,0.0
52,lifestyle,male,adult,returning,0,0,33.74,0.0
53,lifestyle,female,adult,new,1,0,59.7,0.0
54,lifestyle,male,adult,returning,0,0,52.7,0.0
55,lifestyle,female,adult,new,0,0,33.04,0.0
56,lifestyle,male,senior,returning,0,0,26.71,0.0
57,studio,male,young,returning,0,0,28.09,0.0
58,studio,female,young,new,0,0,44.57,0.0
59,studio,female,senior,new,0,0,30.47,0.0
60,studio,male,adult,returning,0,0,30.35,0.0
61,studio,male,adult,new,0,0,27.2,0.0
62,studio,male,adult,new,0,0,33.1,0.0
63,lifestyle,female,adult,returning,0,0,31.51,0.0
64,studio,male,adult,new,0,0,20.17,0.0
65,studio,male,senior,returning,0,0,35.59,0.0
66,lifestyle,female,adult,new,1,0,54.3,0.0
67,studio,female,young,new,0,1,66.16,68.9
68,lifestyle,female,adult,new,0,1,62.66,98.39
69,studio,female,adult,new,0,0,23.28,0.0
70,lifestyle,female,adult,returning,1,1,69.68,119.36
71,lifestyle,female,adult,new,0,0,49.13,0.0
72,studio,female,young,new,0,0,30.76,0.0
73,studio,female,adult,new,1,1,59.07,155.62
74,lifestyle,male,adult,returning,0,0,42.82,0.0
75,lifestyle,female,adult,new,1,0,49.1,0.0
76,lifestyle,male,adult,new,0,0,46.78,0.0
77,lifestyle,male,young,new,0,0,45.63,0.0
78,studio,male,adult,new,0,0,23.53,0.0
79,studio,male,adult,new,0,0,52.85,0.0
80,studio,female,adult,new,1,1,68.77,156.49
81,lifestyle,female,adult,returning,0,0,15.36,0.0
82,lifestyle,female,adult,returning,0,0,45.81,0.0
83,studio,female,young,returning,0,0,9.02,0.0
84,studio,female,adult,new,0,0,45.4,0.0
85,studio,male,young,new,0,0,35.57,0.0
86,studio,female,adult,new,0,0,33.54,0.0
87,lifestyle,female,young,returning,0,0,41.15,0.0
88,lifestyle,male,young,new,0,0,47.02,0.0
89,lifestyle,female,adult,returning,0,1,56.35,174.53
90,studio,male,adult,new,0,0,34.05,0.0
91,studio,male,adult,returning,0,0,35.33,0.0
92,lifestyle,male,adult,returning,0,0,12.34,0.0
93,lifestyle,male,adult,new,0,0,47.09,0.0
94,lifestyle,female,adult,returning,0,0,48.78,0.0
95,lifestyle,female,adult,returning,0,0,45.67,0.0
96,studio,male,adult,returning,0,0,37.97,0.0
97,lifestyle,female,adult,returning,0,0,57.11,0.0
98,studio,female,adult,new,0,0,33.71,0.0
99,studio,male,senior,returning,0,0,39.05,0.0
100,studio,male,young,returning,0,1,47.63,175.89
101,studio,female,senior,new,0,0,20.01,0.0
102,lifestyle,female,young,new,0,0,45.73,0.0
103,studio,female,young,new,0,0,28.71,0.0
104,lifestyle,male,young,new,0,0,21.9,0.0
105,lifestyle,female,adult,returning,0,0,40.4,0.0
106,studio,male,young,new,0,0,33.12,0.0
107,studio,male,senior,new,0,0,36.85,0.0
108,lifestyle,female,adult,new,0,0,42.51,0.0
109,studio,male,adult,new,0,0,18.54,0.0
110,studio,male,adult,new,1,1,79.07,192.83
111,studio,male,senior,new,0,0,43.49,0.0
112,studio,male,adult,new,0,0,46.58,0.0
113,lifestyle,female,adult,returning,0,0,35.6,0.0
114,lifestyle,female,adult,new,0,0,45.45,0.0
115,lifestyle,male,adult,new,0,0,22.46,0.0
116,lifestyle,male,adult,new,0,0,32.82,0.0
117,lifestyle,male,young,new,1,0,42.43,0.0
118,studio,female,adult,new,1,0,51.75,0.0
119,lifestyle,male,young,new,0,0,30.11,0.0
120,lifestyle,female,adult,new,1,0,51.78,0.0
121,lifestyle,male,adult,new,0,0,41.11,0.0
122,lifestyle,male,senior,new,0,0,42.08,0.0
123,studio,female,senior,returning,0,0,25.99,0.0
